phase,prompt_length,time_sec,tokens_per_sec,mem_allocated_gb,gpu_memory_util_pct
prefill,128,0.04110737598966807,3113.7964153238954,16.118664192,59.0
decode,128,0.022701809008140117,44.04935305558394,16.139635712,94.0
prefill,512,0.1324022120097652,3867.0048802676943,16.267503616,33.0
decode,512,0.022900431999005377,43.66729850526106,16.28927488,93.0
prefill,1024,0.26410707796458155,3877.2152866623474,16.466598912,26.0
decode,1024,0.02311490901047364,43.26212141033686,16.488807424,94.0
prefill,2048,0.5318261169595644,3850.8827127715367,16.86347264,26.0
decode,2048,0.023766577942296863,42.07589340072059,16.883958784,94.0
prefill,4096,1.0246060730423778,3997.633927581248,17.65723648,30.0
decode,4096,0.024799371021799743,40.32360333336502,17.677632512,95.0
