event,seq_len,decode_step,mem_allocated_gb,kv_cache_overhead_gb
prefill,512,0,16.292537344,0.19845120000000094
decode,512,10,16.301914112,0.20782796800000014
decode,512,20,16.303077376,0.20899123200000247
decode,512,30,16.3032064,0.20912025600000206
decode,512,40,16.303321088,0.2092349440000021
decode,512,50,16.303403008,0.2093168640000016
prefill,1024,0,16.490989056,0.3969029120000016
decode,1024,10,16.492556288,0.3984701440000009
decode,1024,20,16.493867008,0.39978086400000024
decode,1024,30,16.495177728,0.4010915840000031
decode,1024,40,16.499601408,0.4055152640000017
decode,1024,50,16.500901888,0.40681574400000287
prefill,2048,0,16.888940032,0.7948538880000022
decode,2048,10,16.890507264,0.7964211200000015
decode,2048,20,16.891817984,0.7977318400000009
decode,2048,30,16.893128704,0.7990425600000002
decode,2048,40,16.894439424,0.800353280000003
decode,2048,50,16.895750144,0.8016640000000024
prefill,4096,0,17.681696256,1.5876101120000001
decode,4096,10,17.683263488,1.589177344000003
decode,4096,20,17.684574208,1.5904880640000023
decode,4096,30,17.685884928,1.5917987840000016
decode,4096,40,17.687195648,1.593109504000001
decode,4096,50,17.688506368,1.5944202240000003
prefill,8192,0,19.269305856,3.1752197120000005
decode,8192,10,19.270873088,3.176786944
decode,8192,20,19.272183808,3.1780976640000027
decode,8192,30,19.273494528,3.179408384000002
decode,8192,40,19.274805248,3.1807191040000014
decode,8192,50,19.276115968,3.1820298240000007
